Incident_ID, Date, Time, Location, Description, Type_of_Crime, Victim, Perpetrator
128, 2023-12-27, 10:25, Beijing, Email account compromise leading to wire transfer fraud, Fraud, Individuals, Business Email Compromise Group K
129, 2023-12-26, 14:50, Mumbai, Social media account hijacking for spreading malware, Fraud, Social Media Users, Cybercriminal Group BB
130, 2023-12-25, 08:45, Sao Paulo, Insider trading investigation at an investment firm, Financial Fraud, Investment Firm, Insider Employee
131, 2023-12-24, 10:30, Moscow, Phishing scam targeting banking customers, Fraud, Banking Customers, Phishing Gang
132, 2023-12-23, 14:55, Berlin, Unauthorized access to confidential legal files, Unauthorized Access, Law Firm, Insider Employee
133, 2023-12-22, 08:40, Los Angeles, Email phishing scam targeting university students, Fraud, University Students, Phishing Gang
134, 2023-12-21, 11:15, Toronto, Insider trading investigation at a financial institution, Financial Fraud, Financial Institution, Insider Employee
135, 2023-12-20, 13:40, Sydney, Phishing attack on a technology company's employees, Fraud, Technology Company, Phishing Gang
136, 2023-12-19, 08:55, Paris, Business email compromise (BEC) scam targeting executives, Fraud, Executives, Business Email Compromise Group L
137, 2023-12-18, 10:20, London, Social media account hijacking for spreading propaganda, Fraud, Social Media Users, Cybercriminal Group CC
138, 2023-12-17, 12:45, Tokyo, Insider trading investigation at a financial services firm, Financial Fraud, Financial Services Firm, Insider Employee
139, 2023-12-16, 14:50, New York, Phishing attack on a healthcare organization's employees, Fraud, Healthcare Organization, Hacker Group DD
140, 2023-12-15, 08:45, Beijing, Ransomware attack on a manufacturing company's systems, Extortion, Manufacturing Company, Ransomware Gang
141, 2023-12-14, 11:20, Mumbai, Identity theft through compromised online shopping accounts, Identity Theft, Online Shoppers, Fraudster
142, 2023-12-13, 13:45, Sao Paulo, Social media account hacking for spreading misinformation, Fraud, Social Media Users, Cybercriminal Group EE
143, 2023-12-12, 08:50, Moscow, Unauthorized access to corporate network, Unauthorized Access, Corporation, Insider Employee
144, 2023-12-11, 10:25, Berlin, Email account compromise leading to wire transfer fraud, Fraud, Individuals, Business Email Compromise Group M
145, 2023-12-10, 14:50, Los Angeles, Social media account hijacking for spreading propaganda, Fraud, Social Media Users, Cybercriminal Group FF
146, 2023-12-09, 08:45, Toronto, Insider trading investigation at an investment firm, Financial Fraud, Investment Firm, Insider Employee
147, 2023-12-08, 10:30, Sydney, Phishing scam targeting banking customers, Fraud, Banking Customers, Phishing Gang
148, 2023-12-07, 14:55, Paris, Unauthorized access to confidential legal files, Unauthorized Access, Law Firm, Insider Employee
149, 2023-12-06, 08:40, London, Email phishing scam targeting university students, Fraud, University Students, Phishing Gang
150, 2023-12-05, 11:15, Tokyo, Insider trading investigation at a financial institution, Financial Fraud, Financial Institution, Insider Employee
151, 2023-12-04, 13:40, New York, Phishing attack on a technology company's employees, Fraud, Technology Company, Phishing Gang
152, 2023-12-03, 08:55, Beijing, Business email compromise (BEC) scam targeting executives, Fraud, Executives, Business Email Compromise Group N
153, 2023-12-02, 10:20, Mumbai, Social media account hijacking for spreading propaganda, Fraud, Social Media Users, Cybercriminal Group GG
154, 2023-12-01, 12:45, Sao Paulo, Insider trading investigation at a financial services firm, Financial Fraud, Financial Services Firm, Insider Employee
155, 2023-11-30, 14:50, Moscow, Phishing attack on a healthcare organization's employees, Fraud, Healthcare Organization, Hacker Group HH
156, 2023-11-29, 08:45, Berlin, Ransomware attack on a manufacturing company's systems, Extortion, Manufacturing Company, Ransomware Gang
157, 2023-11-28, 11:20, Los Angeles, Identity theft through compromised online shopping accounts, Identity Theft, Online Shoppers, Fraudster
158, 2023-11-27, 13:45, Toronto, Social media account hacking for spreading misinformation, Fraud, Social Media Users, Cybercriminal Group II
159, 2023-11-26, 08:50, Sydney, Unauthorized access to corporate network, Unauthorized Access, Corporation, Insider Employee
160, 2023-11-25, 10:25, Paris, Email account compromise leading to wire transfer fraud, Fraud, Individuals, Business Email Compromise Group O
161, 2023-11-24, 14:50, London, Social media account hijacking for spreading propaganda, Fraud, Social Media Users, Cybercriminal Group JJ
162, 2023-11-23, 08:45, Tokyo, Insider trading investigation at an investment firm, Financial Fraud, Investment Firm, Insider Employee
163, 2023-11-22, 10:30, New York, Phishing scam targeting banking customers, Fraud, Banking Customers, Phishing Gang
164, 2023-11-21, 14:55, Beijing, Unauthorized access to confidential legal files, Unauthorized Access, Law Firm, Insider Employee
165, 2023-11-20, 08:40, Mumbai, Email phishing scam targeting university students, Fraud, University Students, Phishing Gang
166, 2023-11-19, 11:15, Sao Paulo, Insider trading investigation at a financial institution, Financial Fraud, Financial Institution, Insider Employee
167, 2023-11-18, 13:40, Moscow, Phishing attack on a technology company's employees, Fraud, Technology Company, Phishing Gang
168, 2023-11-17, 08:55, Berlin, Business email compromise (BEC) scam targeting executives, Fraud, Executives, Business Email Compromise Group P
169, 2023-11-16, 10:20, Los Angeles, Social media account hijacking for spreading propaganda, Fraud, Social Media Users, Cybercriminal Group KK
170, 2023-11-15, 12:45, Toronto, Insider trading investigation at a financial services firm, Financial Fraud, Financial Services Firm, Insider Employee
171, 2023-11-14, 14:50, Sydney, Phishing attack on a healthcare organization's employees, Fraud, Healthcare Organization, Hacker Group LL
172, 2023-11-13, 08:45, Paris, Ransomware attack on a manufacturing company's systems, Extortion, Manufacturing Company, Ransomware Gang
173, 2023-11-12, 11:20, London, Identity theft through compromised online shopping accounts, Identity Theft, Online Shoppers, Fraudster
174, 2023-11-11, 13:45, Tokyo, Social media account hacking for spreading misinformation, Fraud, Social Media Users, Cybercriminal Group MM
175, 2023-11-10, 08:50, New York, Unauthorized access to corporate network, Unauthorized Access, Corporation, Insider Employee
176, 2023-11-09, 10:25, Beijing, Email account compromise leading to wire transfer fraud, Fraud, Individuals, Business Email Compromise Group Q
177, 2023-11-08, 14:50, Mumbai, Social media account hijacking for spreading propaganda, Fraud, Social Media Users, Cybercriminal Group NN
178, 2023-11-07, 08:45, Sao Paulo, Insider trading investigation at an investment firm, Financial Fraud, Investment Firm, Insider Employee
179, 2023-11-06, 11:20, Moscow, Phishing scam targeting banking customers, Fraud, Banking Customers, Phishing Gang
180, 2023-11-05, 14:55, Berlin, Unauthorized access to confidential legal files, Unauthorized Access, Law Firm, Insider Employee
181, 2023-11-04, 08:40, Los Angeles, Email phishing scam targeting university students, Fraud, University Students, Phishing Gang
182, 2023-11-03, 11:15, Toronto, Insider trading investigation at a financial institution, Financial Fraud, Financial Institution, Insider Employee
183, 2023-11-02, 13:40, Sydney, Phishing attack on a technology company's employees, Fraud, Technology Company, Phishing Gang
184, 2023-11-01, 08:55, Paris, Business email compromise (BEC) scam targeting executives, Fraud, Executives, Business Email Compromise Group R
185, 2023-10-31, 10:20, London, Social media account hijacking for spreading propaganda, Fraud, Social Media Users, Cybercriminal Group OO
186, 2023-10-30, 12:45, Tokyo, Insider trading investigation at a financial services firm, Financial Fraud, Financial Services Firm, Insider Employee
187, 2023-10-29, 14:50, New York, Phishing attack on a healthcare organization's employees, Fraud, Healthcare Organization, Hacker Group PP
188, 2023-10-28, 08:45, Beijing, Ransomware attack on a manufacturing company's systems, Extortion, Manufacturing Company, Ransomware Gang
189, 2023-10-27, 11:20, Los Angeles, Identity theft through compromised online shopping accounts, Identity Theft, Online Shoppers, Fraudster
190, 2023-10-26, 13:45, Toronto, Social media account hacking for spreading misinformation, Fraud, Social Media Users, Cybercriminal Group QQ
191, 2023-10-25, 08:50, Sydney, Unauthorized access to corporate network, Unauthorized Access, Corporation, Insider Employee
192, 2023-10-24, 10:25, Paris, Email account compromise leading to wire transfer fraud, Fraud, Individuals, Business Email Compromise Group S
193, 2023-10-23, 14:50, London, Social media account hijacking for spreading propaganda, Fraud, Social Media Users, Cybercriminal Group RR
194, 2023-10-22, 08:45, Tokyo, Insider trading investigation at an investment firm, Financial Fraud, Investment Firm, Insider Employee
195, 2023-10-21, 10:20, New York, Phishing scam targeting banking customers, Fraud, Banking Customers, Phishing Gang
196, 2023-10-20, 14:55, Beijing, Unauthorized access to confidential legal files, Unauthorized Access, Law Firm, Insider Employee
197, 2023-10-19, 08:40, Mumbai, Email phishing scam targeting university students, Fraud, University Students, Phishing Gang
198, 2023-10-18, 11:15, Sao Paulo, Insider trading investigation at a financial institution, Financial Fraud, Financial Institution, Insider Employee
199, 2023-10-17, 13:40, Moscow, Phishing attack on a technology company's employees, Fraud, Technology Company, Phishing Gang
200, 2023-10-16, 08:55, Berlin, Business email compromise (BEC) scam targeting executives, Fraud, Executives, Business Email Compromise Group T
201, 2023-10-15, 10:20, Los Angeles, Social media account hijacking for spreading propaganda, Fraud, Social Media Users, Cybercriminal Group SS
202, 2023-10-14, 12:45, Toronto, Insider trading investigation at a financial services firm, Financial Fraud, Financial Services Firm, Insider Employee
203, 2023-10-13, 14:50, Sydney, Phishing attack on a healthcare organization's employees, Fraud, Healthcare Organization, Hacker Group TT
204, 2023-10-12, 08:45, Paris, Ransomware attack on a manufacturing company's systems, Extortion, Manufacturing Company, Ransomware Gang
205, 2023-10-11, 11:20, London, Identity theft through compromised online shopping accounts, Identity Theft, Online Shoppers, Fraudster
206, 2023-10-10, 13:45, Tokyo, Social media account hacking for spreading misinformation, Fraud, Social Media Users, Cybercriminal Group UU
207, 2023-10-09, 08:50, New York, Unauthorized access to corporate network, Unauthorized Access, Corporation, Insider Employee
208, 2023-10-08, 10:25, Beijing, Email account compromise leading to wire transfer fraud, Fraud, Individuals, Business Email Compromise Group U
209, 2023-10-07, 14:50, Mumbai, Social media account hijacking for spreading propaganda, Fraud, Social Media Users, Cybercriminal Group VV
210, 2023-10-06, 08:45, Sao Paulo, Insider trading investigation at an investment firm, Financial Fraud, Investment Firm, Insider Employee
211, 2023-10-05, 11:20, Moscow, Phishing scam targeting banking customers, Fraud, Banking Customers, Phishing Gang
212, 2023-10-04, 14:55, Berlin, Unauthorized access to confidential legal files, Unauthorized Access, Law Firm, Insider Employee
213, 2023-10-03, 08:40, Los Angeles, Email phishing scam targeting university students, Fraud, University Students, Phishing Gang
214, 2023-10-02, 11:15, Toronto, Insider trading investigation at a financial institution, Financial Fraud, Financial Institution, Insider Employee
215, 2023-10-01, 13:40, Sydney, Phishing attack on a technology company's employees, Fraud, Technology Company, Phishing Gang
216, 2023-09-30, 08:55, Paris, Business email compromise (BEC) scam targeting executives, Fraud, Executives, Business Email Compromise Group W
217, 2023-09-29, 10:20, London, Social media account hijacking for spreading propaganda, Fraud, Social Media Users, Cybercriminal Group WW
218, 2023-09-28, 12:45, Tokyo, Insider trading investigation at a financial services firm, Financial Fraud, Financial Services Firm, Insider Employee
219, 2023-09-27, 14:50, New York, Phishing attack on a healthcare organization's employees, Fraud, Healthcare Organization, Hacker Group XX
220, 2023-09-26, 08:45, Beijing, Ransomware attack on a manufacturing company's systems, Extortion, Manufacturing Company, Ransomware Gang
221, 2023-09-25, 11:20, Los Angeles, Identity theft through compromised online shopping accounts, Identity Theft, Online Shoppers, Fraudster
222, 2023-09-24, 13:45, Toronto, Social media account hacking for spreading misinformation, Fraud, Social Media Users, Cybercriminal Group YY
223, 2023-09-23, 08:50, Sydney, Unauthorized access to corporate network, Unauthorized Access, Corporation, Insider Employee
224, 2023-09-22, 10:25, Paris, Email account compromise leading to wire transfer fraud, Fraud, Individuals, Business Email Compromise Group X
225, 2023-09-21, 14:50, London, Social media account hijacking for spreading propaganda, Fraud, Social Media Users, Cybercriminal Group ZZ
226, 2023-09-20, 08:45, Tokyo, Insider trading investigation at an investment firm, Financial Fraud, Investment Firm, Insider Employee
227, 2023-09-19, 11:20, New York, Phishing scam targeting banking customers, Fraud, Banking Customers, Phishing Gang
228, 2023-09-18, 14:55, Beijing, Unauthorized access to confidential legal files, Unauthorized Access, Law Firm, Insider Employee
229, 2023-09-17, 08:40, Mumbai, Email phishing scam targeting university students, Fraud, University Students, Phishing Gang
230, 2023-09-16, 11:15, Sao Paulo, Insider trading investigation at a financial institution, Financial Fraud, Financial Institution, Insider Employee
231, 2023-09-15, 13:40, Moscow, Phishing attack on a technology company's employees, Fraud, Technology Company, Phishing Gang
232, 2023-09-14, 08:55, Berlin, Business email compromise (BEC) scam targeting executives, Fraud, Executives, Business Email Compromise Group Y
233, 2023-09-13, 10:20, Los Angeles, Social media account hijacking for spreading propaganda, Fraud, Social Media Users, Cybercriminal Group AAA
234, 2023-09-12, 12:45, Toronto, Insider trading investigation at a financial services firm, Financial Fraud, Financial Services Firm, Insider Employee
235, 2023-09-11, 14:50, Sydney, Phishing attack on a healthcare organization's employees, Fraud, Healthcare Organization, Hacker Group BBB
236, 2023-09-10, 08:45, Paris, Ransomware attack on a manufacturing company's systems, Extortion, Manufacturing Company, Ransomware Gang
237, 2023-09-09, 11:20, London, Identity theft through compromised online shopping accounts, Identity Theft, Online Shoppers, Fraudster
238, 2023-09-08, 13:45, Tokyo, Social media account hacking for spreading misinformation, Fraud, Social Media Users, Cybercriminal Group CCC
239, 2023-09-07, 08:50, New York, Unauthorized access to corporate network, Unauthorized Access, Corporation, Insider Employee
240, 2023-09-06, 10:25, Beijing, Email account compromise leading to wire transfer fraud, Fraud, Individuals, Business Email Compromise Group Z
241, 2023-09-05, 14:50, Mumbai, Social media account hijacking for spreading propaganda, Fraud, Social Media Users, Cybercriminal Group DDD
